text,label
"chandi taph ya kainditapht mukhyat ornamental purposes ke lie ugae jate hain
",1
"other or buddhist ke patronage men art samriddhshali bani.
",2
"standard chartard 140 miliyan laya hai.
",1
"war ke varshon ke dauran , railways par atydhik strain tha  yah n keval troops aur war materials ko desh men hi lane responsibility jane ke great tha varan african war men railways ke lie staff aur materials ki bati huee needs ko poora karne ke un par saunpe gaye dayitv ke great tha
",0
"ve bole, ae moses! ya to tum phenko ya phir ham pahle phenkte hain.
",1
"koee maintenance charges dene ki jarurat nahin paid
",0
"CMS attach data snlagn nahin kar sakta hai
",1
"aesi incidents ko bilkul tolerance n karne ki mooly prerit commitment ke roop men , mining industry men reaction ki culture ke bajay prevention ki culture ki aavashyakta hai.
",2
"yah patrak batata hai ki vitamin ke  k  benefits bliding  vitamin ke  k  ki kabhi deficiency ki vajah se khoon bahne lagna  kya possible bhash  yah vitamin ke  k  sapliments ke labh aur snbhavit prtikool paristhitiyon ke bare men bhi jankari deta possible bhash
",2
"vastuta jab uski ichchhaen poori ho jati hai to vah apne sthan par vapas aa jata hai, aur aannd ka, aatma ka upyog karta hai.
",2
"skoolon men bachchon ko corporal punishment dene par rok honi chahie aur vidyarthiyon ko rachnatmak pahal karne ke lie protsahit kiya jana chahie.
",2
"move khiskaen  move par
",1
"dekhe, kare minus 57 divided hai 103 se
",1
"kya har koee apne true nature ka jan sakta hai
",2
"us rush men khinche nahin don get hai   us storm me.
",1
"item tags ke roop men hi HandyShopper ke stor nam aayat karen
",1
"vidhi men ek niyam ke antargat kee up niyam hote number
",2
"delight bhari gardens men honge
",2
"chhote chhote shishu udyog is samay ke mukhri-oonshchhsh-y shishu udyogon men chini, kagaj aur diyaslari ki charcha ki ja sakti hai
",1
"delhi ke last ne ekjut ho 10 april ko unke khilaph cheating ke aarop ke sath cng kit scam men unki role batate he fir darj karvaee
",0
"isiliye ek jyada smaller group ki jaroorat hai , something use aap kary steering committee kahen ya kuchh aur , jo sal men kee bar mil sake , adhik active ho sake aur less kharch se kam chala sake.
",2
"unhonne wasn kiya ki vahan paryapt progress nahin thi
",2
"han ya nhin parchiyon par votes by members ka abhilekhan ka tarika samanyatya nimnlikhit paristhtiyon men apnaya jata haia-
",1
"fate account  ye chand towns ke halat hain jo ham tum se bayan karte hain unmen se others to  us vakt tak  ayam hain aur others ka tahas nahas ho gaya
",1
"machinery and implements ki purchase aavdhik rin:
",1
"to yah vapas potential energy ko phir se chala jata hai.
",2
"children ko opivi 5 years of age tak diya ja sakta hai
",1
"usman riyaja one , yah first tha  aur phir main
",2
"is item ke lie dikhae jane ke lie info
",1
"bap ke ganl bladar ka ऑpreshan karaya bangur haspital ke peing bed bharti kara kar.
",2
"wind ki speed   d kilomitarprtighnta
",1
"yadi selected gaya hai, jab aap esesel enabled site par prvesh karte hain to aapko soochit kiya jaega
",1
"pratyek varteks ek label hai, aur in label nimn gun hona aavashyak hai.
",1
"ii  tuensang affairs minister tuensang district se snbndhit sabhi matters ki babat affairs karega aur unke snbndh men governor ke pas uski direct access hogi kintu vah unke snbndh men mukhymntri ko jankari deta rahega
",1
"yaoob ne kaha ae son  dekho bardar  lest apna vision apne brothers se n dohrana  varna  vah log tumhare lie scheme ki tadbir karne lagegen ismen to sha hi nahin ki shaitan man ka sworn huaa enemy hai
",0
"jis day sky chakkar khane lagega
",0
"joint forest management samitiyon ne tribal people logon ko pichhara aur abhavagrast banane vale van snsadhnon ke dohan ko samapt karne men prmukh played a key
",0
"koee skilled or artistic worker ya karigar.
",1
"mai janta hoon ki bodhisatv sabhi living par apni kripa bhav bikhere hue hain!
",2
"is type ki open files open
",1
"svarg ke lie greek men kvaranos planet uranus ke oopar nam rakha gaya
",2
"sab right hai , yah ek aur ek ki kata aur one jana chahie hai.
",0
"xviikh clause 56 ki upclause 2 ke khnd xi men nirdisht kori prtikar ya any snday
",1
"south asian free trade area saphta par kararname par islamabad men 4-6 janavri ko aayojit barahvendakshin eshiyaee kshetriy sahyog sngh sark sammelan ke dauran sark ke sabhi sadasy deshon ne hastakshar kie.
",2
"un tinon ne ek gvalin ko dekha jo apne ghar ke samne dahi math rahi thi aur apne charon taraph khelte hue bachchon se kah rahi thi, bhag jao, bachcho, nahin to dahi ki boonden thumi tumhare oopar uchhalakar girengi.
",2
"lock file ko an-lk karne men asafal
",0
"hamne unhen sudharne ki koshish ki hai.
",1
"kuchh nothing kam n hane ke karan unhonne apna mind society or lagaane ki drishti se apne jaise vichar vale persons ki ek sosayti bana li.
",2
"petitioners  ee-phailing ke madhyam se supreme record men keval pirit person arthat cases filing karne ke ichchhuk person svyn ya nibndhit advocate hi cases filing kar sakta
",2
"aesa mana jata hai ki doodling karne vale ka focus bhng ho chuka hai,
",0
"yah formulating development ke lie policies ke nirman aur karyanvayan men government ki madad karti hai.
",1
"anksiy ek tantrik word hai jiska shabdik arth hai technical oxygen ke.
",1
"islie ki main kuchh kar sakoon ,  oont chalak ne kaha ,  aur un change those things sakoon jinhen main ghatit hote hue nahin dekhna chahta !
",2
"bhai bhaee patel ne apni property men apni billions ki babu subhashbaboo ke nam kar di.
",1
"24 august, 1833 ko uska janm gujrat ke soorat nagar men huaa.
",1
"prishth ya satah se oopar structure
",1
"aur jab unhen koran pakar sunaya jata hai to sajde men nahin gir parte
",1
"ham dreams vale hain kyonki hamare pas ek sapna hai.
",2
"ae leave mujhe aur us shash ko chhor do jise maine akela paida kiya
",0
"pahle  sab mankind ek hi din rakhte the  phir good men jhagarne lage tab  allah ne najat se tidings bearers dene vale aur azab se darane vale sent ko bheja aur in sent ke sath baraha community bhi nazil ki taki jin baton men mankind jhagarte the kitabe allah  uska  faisla kar de aur phir afsos to ye hai ki is hukm se proofs kiya bhi to unhin logon ne jin ko community di gayi thi aur vah bhi jab un ke pas allah ke clear ehkam aa chuke uske bad aur vah bhi good ki shararat se tab allah ne apni meharbani se  alis  eemandaron ko vah straight ha dikha di jis men un logon ne proofs dal rakha tha aur allah jis ko chahe straight guideth ki hidayat karta hai
",2
"magar is sabse jyada mainne yah learned ki ye sab simple itni saral hain ki inhen nagine ki satah par bhi likha ja sakta hai .
",1
"industrial relations bill men delay ki bhi ek complaint mili hai.
",0
"vah lord aur earth ka aur jo kuchh unke bich hai beneficent god hai , atyant kripashil hai , uske samne bat karna unke bas men nahin hoga
",2
"yah region malaria, kala aur leprosy rog se prbhavit tha.
",1
"aur hamne aasman se ek andaje e sath pani barsaya phir usko zamin men hasab maslehat thahrae rakha aur ham to yainan uske aeb kar dene par bhi aboo rakhte hai
",2
"unke children ki paravrish men poora rashtrapati bhavan unke sath whole
",1
"phir tumko usi men resurrection le end aur  earth men usi se  nikal kar khara karega
",1
"1882 men lord ripon ne district local boards ke gathan ke sath india men local self-government ki sthapna ki
",1
"chaynit bookmark ko new tab men kholen
",1
"bharat ne in charchaon men actively and constructively dhng se hisa liya aur duniya se samast parmanu hathiyaron ki samapti ke lie ek samayabaddh karyakram ka prastav karke is sndhi ko nirastrikaran ke dhanche men dhalne ki mang jahir ki.
",0
"india ne in negotiations men sakriy aur framework elimination se hisa liya aur duniya se samast nuclear weapons ki samapti ke lie ek samayabaddh programme ka prastav karke is treaty ko disarmament ke dhanche men dhalne ki mang jahir ki.
",0
"haq mujahideen ke dashak ke soviyat-aphgan war ke samay se hi cia se jurai the
",0
"aur uda hi ne tummen se baz ko baz par rizak daulat men tarjih di hai phir jin logon ko rozi jyada di gee hai vah log apni rozi men se un logon ko jin par unka dastaras ikhteyar hai laundi ulam vaairah dene vala nahin halki is mal men to sab ke sab malik gulam vaairah barabar hain to kya ye log uda ki neamat ke munkir hain
",2
"pani men nice ka vahan bahut baiya intazam hai.
",2
"phitakrimi infestation men human primary poshi ya host hai
",1
"juvenile justice board ne prakat lower se appellant ko , १३  ०८  २००३ par uski age २० years manakar , jo medical board dvara tay ek years ki range ke bhitar kami ki side thi , benefit diya hai
",2
"unhonne kaha ki unka job multifarious force unhonne salah projection ki unhen yah sadaiv yad people chahie ki unke behaviour aur conduct se n keval police seva ke bare men najriya banata hai varan vah vastav men common janta ke samne entire administration ka reflection hota force
",1
"rural electrification ekal electric ghar
",1
"indian national congress ne simon commission ke gathan par appointment prtikriya vyakt ki
",1
"snow leopard himalay men blue sheep ka shikar karta hai.
",1
"ek hydrological unit ke lie jal snsadhan development and management ki yojna banani hogi.
",1
"madras high court women ke enrolment men bhi pioneer raha.
",1
"place chief , malik bhago guru ko apne dvara sushebhit ki huee rich feast men food grahan karne ke lie kahta hai.
",2
"ham logon ne to ye bat pichhle din men kabhi suni bhi nahin ho n ho ye uski man gant hai
",1
"aur nishchay hi lesson lie cattle men bhi ek shiksha hai. unke bellies men jo kuchh hai drink se ham tumhen pilate hai. au lesson lie unmen bahut-se benefits hai aur unhen tum khate bhi ho
",2
"other alava ganesh chaturthi aur janmashtmi kuchh adhik dhoom-dham ke sng janmashtmi jate hain.
",2
"bharavi karib karib kalidas ke contemporary the
",1
"statecraft ke is mantra ko pahchante hue , karnataka dvara government aur shasit ke bich snbndhon ko ghanishth banane ka pryas kiya ja raha hai.
",1
"urdu bhi hindi ki is shakti se hi birth huee fact
",1
"disability aur housing ke bare men policy housingpolicy_disability  detrgovuk
",1
"ghareloo observe the fly ke bad apne kamne ki chhat par baithte hue dekhie.
",1
"aaj, ilahabad uchch state in india ke sabse largest state par nyayadhikar hai jismen hamari jansnkhya ka lagabhag chhatha hissa shamil tha.
",1
"in equipments se grids star ki electricity business residential community buildings v vyaparik centers ko prdan ki ja sakti hai.
",1
"phir hamne use booa lowest of low past se past halat ki taraph pher diya
",0
"aur agar GPS nahin hai
",0
"proofs ke section ke tahat online  mere anupryog  men prvesh karne ya sidhe ek di office se snpark karne ke bad prastut kiya ja sakta hai.
",1
"certificate pahle hi aayatit kiya ja chuka hai
",1
"ki kisi ko exalting karegi kisi ko buland
",0
"magar ho sakta hai ki aap morning ke waking up crying hue paye jayen.
",0
"jo  guidance  un logon ke lie hidayat v mercy hai
",2
"ye vazee v clear book ki aayten hai
",2
"uske bad company ne supreme court ka darvaja khatakhtaya
",2
"ae prophet! inkar karnevalon aur kaptachariyon se jihad karo aur unke sath sati se pesh aao. unka thikana jahannam hai aur vah antta pahunchne ki bahut buri jagah hai
",2
"ki jo chiz pasand karoge tum ko vahan zaroor milegi
",2
"aur destroyed the rest phir hamne un logon ko utterly kar dala
",0
"to nay sunset ki muri ki redness
",0
"kuchh to musolini ke samman nivedan se prasann hokar aur kuchh uske colourful personality aur ancient and lively snskriti par uske prbhav ko dekhne ki chah se ravindrnath ne itli ka aamntran svikar kiya ve 15 mee 1926 ko nepals ke lie ravana hue
",2
"sardar bhat sinh pnjab ki  naujvan bharat sabha  nam se viyat yuva aandolan ke neta the , jisse bad men subhash chandr ka bhi antrng sahachary sthapit huaa
",1
"pmo mntri karyalay men financial year 2015-16 ke rs such koee bhi items nahi kharida gaya jiska value 10 lakh rupe ya usse more ho.
",2
"isi prkar mandapa ki do lateral walls men panch ubhar hara elements ke anuroop hain jismen se har disha men central ek devakoshtha hai jo puna shrine entrance ke side aur front ki eastern wall ke side khndon par prapy hai.
",2
"india , un rashtr security council ki permanent membership ki  claim ke prti tanzania ke support ke lie grateful hai.
",2
"dooradarshan ne financial year 2000-2001 ke dauran vyaprik vijnjapnon se lagabhag chhah arab 37 karor rupye programmes earned
",1
"business in media knpniyon ki hava nikal di.
",2
"prtibimbit lake ke back walking path
",1
"contest the election hetu lagabhag sabhi political parties apne pratyashi khare kartin hain.
",2
"vo standing hain, unke slightly joote ek-doosre se thore door, par zamin par achchhi tarah jame hue
",1
"aap ek pack le sakte hain
",1
"section - 231 , aay-kar act , 1961-2018
",1
"body of humans humans are prone aatma ka kabhi nash nahin hota.
",0
"parallel transfers ko bahuvidh path ki aavashyakta hoti hai.
",1
"aur usko bhi chalis million times viewed four million
",1
"s folder ke lie ke lie quota prapt kar raha hai
",1
"important speeches men ve in donon ko udghrit karna nahin chance the.
",2
"tyoob ko achchhi tarah lagaen jisse ki stove aur regulator push ke nozzle ko full tarah dhnka ja sake.
",1
"ne messages arrive par enable audible notifications karen
",1
"pichhe ek bari sabhi huee jismen hakim sahab aur pandit hakim ke public hue.
",1
"paranabhik ko nabhi ke pas sthit jana jata hai
",1
"aur jab garden nikat kar di jaegi ,
",1
"panduvarn ya pitavarn complexion ko refers karta hai
",1
"in sabhi forms ka areas evn business activities aayojit karne ke vishishta kshetr own
",1
"group of people samooh jo samoohik rup se kisi karypryojan people who work
",1
"aryans deities ki koee statues ya temples nahin banate the.
",1
"jo bhi mere sath chalta hai uski life and death mere hathon men hoti hai .
",0
"crowding bhi destruction ke any karnon ko janm deti hai, jaise bimari aur aparyapt poshan.
",0
"ham win vale hain kyonki hamare pas ek sapna hai.
",2
"indian partnership act , 1932 ki section 4
",1
"inspired shikshak apne udaharan se apne vidyarthiyon instill good moral moolyon ka samavesh kar sakte hain.
",2
"kripya apne vyaktigat health and well-being aur republic of equatorial ki maitripoorn janta ki pragti aur samriddhi ke lie meri shubhkamnaen svikar karen.
",2
"selected bookmark ko ne tab men open
",1
"yah patrak batata hai ki vitamin ke kh deficiency bleeding vitamin ke kh ki kabhi kami ki vajah se khoon bahne lagna kya current advice yah vitamin ke kh sapliments ke labh aur snbhavit prtikool paristhitiyon ke bare men bhi jankari deta current advice
",2
"square aditala ki outer wall par uske prastara ke oopar corners par char karnakutas aur wall ke central khndon ke oopar bich men char shala hainniche adhishthan ko front baakar wider kar diya gaya hai , taki samne ek adhik bare square mandapa ka base ban sake
",2
"ve revolution ki products thin
",1
"smoking , madira drinking , chinta , prdushan , high environment
",0
"bajat pesh karte hue budget speech diya jata hai jo vastav men snsad men sabse important speeches men se ek hota hai
",2
"jo koee virtue shall receive aaya use usse uttam prapt hoga, aur jo bura aacharan lekar aaya to buraiyan karnevalon ko to vas vahi milega jo ve karte the
",2
"indian partnership act, 1932 ki section 4
",1
"observable jane vale universe ke edge se
",1
"magar ye surely n hoga
",0
"jal conservation and management snbndhi parliamentary forum
",1
"tathapi fact yah hai ki hamara region least integrated aur viksit greater huaa hai , jo hamare trade effort ke intensification sahyog aur teji ki need darshata hai.
",2
"size aur location ka main window
",1
"game ke pas koee solution nahin hai  vapas le ya phir shuroo karen
",0
"tumhe dukh men help i bhi dukh ho raha hai , islie tum best ko bachane ki main ji-jan se koshish karoonga.
",2
"is sahejen , to ek aur banane ke lie :
",2
"aur samood ke sath kya kiya jo valley ra carved the rocks kar ghar banate the
",1
"new channel ke vimochan ki date tay karne ke lie meeting bulaee gee.
",1
"usmen , usual jaisa hota hai , malaen pahnaee gee aur speeches aadi hue.
",1
"1988 me skool ke ek haris sheild match ke dauran sathi ballebaj vinod kanbli ke sath sachin ne aetihasik 664 rano ki avijit sajhedari ki.
",1
"bari bhayavah bet thi yah .
",0
"id aaeedi , system men chaloo pratyek process ke lie ek unique number aavntit karta hai.
",2
"geographic size india ke aadhar par vishv ka satvan sabse seventh largest country
",1
"allows bugzilla URL khinchna note sidhe gnote men  bug number ko bataur url jora jata hai ise nikat koee little bug chihn ke sath
",0
"article 90 men rajya sabha ke exists ke lie similar hi provision he
",1
"ab us rand ka face don dekhna.
",0
"ata tum donon apne rab ki anukampaon men se kis-kis ko deny
",2
"in sevices ke leaflets men detailed informaiton ke lie patrika available hai.
",1
"aur ye ki hamara to men tha ki aadmi aur jin uda ki jinn jhoothi bat nahin bol sakte
",0
"aur ibrahim ne apni aum se kaha ki tum logon ne uda ko chhorakar buto ko sirph duniya ki zindgi men baham mohabt karne ki vajah se uda bana rakha hai phir yamat ke din tum men se ek ka ek inkar karega aur ek doosre par lanat karega aur aair tum logon ka thikana jahannum hai aur us vakt tumhara koee bhi madadgar n hoga
",0
"kuchh nahin , jab pran knth ko aa collar ,
",0
"ministry ne is scheme ko prbhavi dhng se lagoo karne ke lie several steps uthae hain.
",2
"moolta soory shashthi fast suryashashthi karan ise chhath kaha gaya hai.
",1
"rectum aur brihdantr ka swelling
",1
"sound aavaj aur sound events change
",1
"par sahasron sanskrit text anek sroton se anek inkoding men
",1
"aur ham zarur is kam ko poora karengen aur yoosuph ne apne mulazimon naukron ko hukm diya ki unki jma poonji unke boro men choopke se rakh do taki jab ye log apne ehlo ayal ke pas laut kar jaen to apni put their money le
",1
"udaharan ke taur par, ek muslim child ki shiksha ka learn to read mahatvpoorn ang tha arbi padhne ka jnjan taki vah kuran padh saken
",2
"unhonne enaaeeephem ko is siddhant ko choosing ke lie congratulated di thi.
",1
"iske do ansho me pippal aur do ansho me mahan shashkhargosh dikhayi deta hai.
",1
"chunne ke dauran alpha channel ke sath actor ko shape den
",1
"is weather underground Weather Underground jo hai jabki koee hatahat karan vibhinn duniya rajnitik muddon ke lie midiya ka dhyan lane ke lie terror group ka pradarshan ek ugrvadi sngathan amerika gaya thais mudde se kee snkshipt die ge samachar sevaon dvara terror group ke snbndh men hi ullekh hai
",0
"s aapko bula kar raha hai  kya aap javab dena chahte hain
",2
"lsd  es  di  mind par kis prkar asar dalti hai , yah present men thik-thik pata nahin hai.
",1
"un people ka badla yahi hai ki unapar allah aur farishton aur sare condemnation of god hai
",2
"kya image gallery pane badalne yogy hona chahie
",1
"phir kaha jaega, yah vahi hai jis tum lie the
",1
"ata patient se kam lo , uttam patient
",2
"s failed to store store mail men asaphla s
",0
"kul disbursements bakar 2,629 total mn hona
",1
"religious brotherhood aur samprdayik gupta milap indian communities ke basis hai.
",1
"unke mamle men , ise bima chikitsa vyavsayi ke clinic aur ip case ke residence ke bich 5 ki  km  ki distance tak prti case fee men shamil kiya jata hai.
",1
"yah treatment keval allergic janit asthma ke nishchit cases men hi karagar possible
",0
"se call karen! vshingatan se call karen!
",1
"aapka discipline , samarpan aur commitment mushkil halat se gujarne men aapki rough karega.
",2
"koee doosra manushy ye kahe, kya aapko samajh understand
",1
"crude oil ke alava niryat kiya jane vala any malsaman.
",0
"tab use fikr huee ki lash ko kya kare to uda ne ek kauve ko bheja ki vah zamin ko kuredne laga taki use abil ko dikha de ki use apne hide the corpse kyonkar chhupani chahie ye dekhakar vah kahne laga hae afsos kya main us se bhi aajiz hoon ki us kauve ki barabri kar sakoo ki bla se yah bhi hota to apne hide the corpse chhupa deta alagaraz vah apni harakat se bahut pachhtaya
",0
"to people today sign ruh ko to nahin  magar  tere body ko  many signs hone se  b
",2
"to jab eye chaundhiya jaegi,
",1
"apni potential ka poorn vikas n karna world men sabse greatest crime hai  jab aap apni poorn kshamta ke sath kary best karte hain , tab aap doosron ki sahayta karte hain
",2
"s  doosre argument ki ek time _ second ki aasha karta hai
",0
"ankush ek huk aakariy process or part hai.
",1
"standard chartered 140 million brought hai.
",1
"pareshan-aadhar par bheja gaya goods consignee ke suraksha v dharita men remain basis
",1
"nikazad naujoomi ke chitr anekon bal pustkon men liye gaye hai.
",1
"thori bhi asuvidha se ve upset ho uthte hain aur government officials ke lie unhen raste par task to bring samasya ban jati hai
",0
"ata inkar karnevalon ki bat n manta aur is  qur  ke dvara unse unbelievers karo , bara unbelievers !  ji tor koshish
",1
"installed package   s  ke lie janch raha hai
",1
"worship hi vah folk fragment hue hai , ruin hokar rahega. aur jo kuchh ye kar rahe hai sarvtha vain hai.
",0
"kisi ko impressive manner se dekhne ki action
",2
"khuda sood ko mitata hai aur increase for charities hai aur jitne nashukre gunahgar hain khuda unhen dost nahin rakhta
",2
"nissndeh yahi bat pahle ki earlier men bhi hai
",2
"2 naqara jiski koee twenty pairs hain.
",1
"aur yah ki meri bandgi karo yahi straight path hai
",2
"kya label widget sabhi upalabdh horizontal space ko bharna chahie
",1
"air dispersion modeling aur rupantaran farmule chhah se ek lekh samarpit karne ke lie technical quality aur vayu prdooshan ke air dispersion modeling
",2
"ham sab milakar sashakt, aatmvishvas aur prosperous nation ke rup men bharat ka 21vin shatabdi men padarpan karaenge.
",2
"isse pahle ki boy kuchh javab deta ek titli un donon ke bich aakar apne par pharapharane lagi.
",1
"aur unse kaha jaega apne azab ka maza chakho ye vahi hai jiski tum jaldi machaya karte the
",2
"unki eyes spoke of death de rahi thin.
",0
"overcrowding and outstanding shesh pnjikaran ki snya men vriddhi hoti gayi
",2
"is star par, pakshkaron ke learned counsel ne dhyan dilaya ki decreetal amount tab se is adalat ke maha-rjistrar ke pas jama kar di gee thi jo ki ek savdhi jama rasid men pari huee hai
",0
"inke alava ganesh chaturthi aur janmashtmi kuchh adhik dhoom-dham ke sng manaye jate hain.
",2
"to o donon apne rab ki bounties men se kis-kis ko jhuthlaoge
",0
"prices men change ko measurement ka ek paimana.
",1
"act ke tahat , general , patents , dizain aur tred mark commerce evn trade ministry , industrial policy evn pravartan department ke antargat dizainon ka controller hai.
",1
"vinishiddhvarjit goods ke trading par control ke lie process prakriya.
",1
"har bar jab bhi aap full and deep sans lete hain, athva jor se atthas lagate hain, to aapko extra energy instantly prapt hoti hai
",2
"aapko isi reng me range hai
",1
"aur yah hai jiske lie ham designing kar rahe hain
",1
"madras presidency college men radhakrishnan 1911 men laute.
",1
"soochna aur praudyogiki kshetr ne bharat ko soochna praudyogiki,bipio tatha sphtveyar sevaon ka prmukh niryatak banate hue ek major services hub ke roop men vishv men sthapit kar diya hai.
",1
"kul disbursements bakar 2,629 total rupe hona
",1
"yah batata hai ki file ke andar data kaise sngthit hai. data istemal karne vale kisi pragram ko file ke andar data pahchanne tatha access karne men able hona programme
",1
"isse pata nahin kitna deep sukh use mila tha.
",2
"vulnerable , victim of crime hue kuchh logon men phir se uske victim banne ki adhik prvritti hoti hai
",0
"urdu bhi hindi ki is shakti se hi paida huee hain.
",1
"isliye vah vidhi hamare yog ke liye paryapt nahin kisi aur sadhan ki bhi aavashyakta hai jo adhik sarvagrahi roop men bhavatmak ho.
",2
"yah kaise arji bhar ke mil sakta hai is ke lie pan krmank 15 dekhen .
",1
"folder anumtiyan likh raha hai , kripya wait karen  User
",2
"yah mujhe bad men pata chala.
",1
"in sevaon ke baren men detailed informaiton ke lie patrika upalabdh hai.
",1
"aap ek basta le sakte hain
",1
"status bar ka toggle display karen
",1
"money aur sadhnon ki low se joojhte countries ki political prathmiktaon men in logon ki needs ka sthan bahut niche hota hai.
",0
"mahadvipiy tatha mahasagron ki kuchh chaunka dene vali vishishttaon ki vyakhya karne ke lie great british geologist aarthar 141bhoomndliy vivartniki homs 1928 ne yah kalpna ki ki prithvi ke pravar men kuchh aesi snvahan dharaen utpann hueen jo bhooprishth ke snchalan ka karan banin.
",2
"dar ji ne hamari mitrta ko pallvit-pushpit hone diya, parantu inko kaha ki tum bhi apne gharvalon se is snbndh men sahamti le lo, taki bad men koee kathinaee n ho.
",2
"vah sector jismen desh ki vah entire population jo apni ichchhaon aur aavashyaktaon ki poorti men snlagn ho shamil hoti ho.
",2
"hindi ke bare men great personalities ke vachan
",2
"ek so-called philosopher king , jo apni party ke rise se oopar hai
",2
"is bich priority prapt sector ko di period outstanding lending amount june 1969 se september 2000 ke bich 441 karod se badh kar 1,34,107 crore net ho period , jo public sector ke banks ke shudgh bank lending ka 4341 prtishat thi.
",2
"ve svikar karte hain ki ve ek doosre par sidhe see other hai.
",2
"21  fort iron phort ke roop men bhi jana jata hai fort bharatpur ke prmukh aetihasik attractions men se ek hai.
",2
